City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,souillac,-20.5167,57.5167,26.21,78,40,3.6,MU,1676396031
217,salalah,17.0151,54.0924,24.05,73,20,1.54,OM,1676396032
218,upernavik,72.7868,-56.1549,-28.33,92,100,3.3,GL,1676396032
219,sakaiminato,35.55,133.2333,1.99,55,75,5.66,JP,1676396032
220,severo-kurilsk,50.6789,156.125,-3.51,86,100,15.45,RU,1676396032
221,fortuna,40.5982,-124.1573,4.96,96,75,3.09,US,1676396032
222,emerald,-23.5333,148.1667,25.56,56,67,2.67,AU,1676396032
223,sala consilina,40.3912,15.5989,7.44,69,0,1.7,IT,1676396032
224,santa vitoria do palmar,-33.5189,-53.3681,31.33,44,100,3.9,BR,1676396032
225,tukrah,32.5341,20.5791,12.52,70,79,6.38,LY,1676396033
226,saint-joseph,-21.3667,55.6167,26.21,82,60,5.66,RE,1676395807
227,adet,11.2644,37.4888,18.63,36,82,2.89,ET,1676396033
228,stabat,3.761,98.4513,26.11,96,85,1.12,ID,1676396033
229,laguna,38.421,-121.4238,9.52,41,0,7.2,US,1676396033
230,cartagena del chaira,1.3349,-74.8429,35.28,36,75,1.77,CO,1676396033
231,pevek,69.7008,170.3133,-40.39,100,100,3.03,RU,1676396033
232,broome,42.2506,-75.833,8.71,49,0,3.6,US,1676396033
233,kerema,-7.9631,145.7785,25.97,86,100,5.23,PG,1676396033
234,cayenne,4.9333,-52.3333,27.02,89,75,3.09,GF,1676395808
235,itaituba,-4.2761,-55.9836,33.09,62,40,4.12,BR,1676396034
236,durban,-29.8579,31.0292,27.51,86,84,1.79,ZA,1676395824
237,yumbe,3.4651,31.2469,27.34,19,97,3.03,UG,1676396034
238,lieksa,63.3167,30.0167,-2.97,98,100,2.23,FI,1676396034
239,provideniya,64.3833,-173.3,-27.21,95,96,2.53,RU,1676396034
240,tucuman,-26.8241,-65.2226,32.0,55,20,3.09,AR,1676395827
241,letterkenny,54.95,-7.7333,13.96,79,94,7.75,IE,1676396034
242,turayf,31.6725,38.6637,7.14,57,75,6.17,SA,1676396035
243,codrington,-38.2667,141.9667,12.0,77,69,3.46,AU,1676396035
244,bayan,46.0833,127.4,-28.34,100,37,1.57,CN,1676396035
245,khandyga,62.6667,135.6,-44.23,100,95,1.38,RU,1676396035
246,tateyama,34.9833,139.8667,3.94,54,83,8.82,JP,1676396035
247,ust-tarka,55.5672,75.705,-23.76,100,73,2.13,RU,1676396035
248,luderitz,-26.6481,15.1594,19.73,79,0,8.7,NA,1676396035
249,tadine,-21.55,167.8833,22.66,75,3,3.01,NC,1676396035
250,otaru,43.1894,141.0022,-12.55,83,100,8.58,JP,1676396036
251,ancud,-41.8697,-73.8203,14.18,83,100,4.88,CL,1676396036
252,smithers,54.7804,-127.1743,-9.82,92,40,1.54,CA,1676396036
253,vostok,46.4856,135.8833,-23.99,99,93,1.1,RU,1676396036
254,brae,60.3964,-1.353,7.09,84,96,6.02,GB,1676396036
255,pak phanang,8.3511,100.202,25.35,79,70,2.08,TH,1676396036
256,havre-saint-pierre,50.2334,-63.5986,-4.0,38,0,1.54,CA,1676396036
257,nhulunbuy,-12.2333,136.7667,26.34,89,75,3.6,AU,1676396036
258,pasni,25.2631,63.471,22.37,78,5,5.51,PK,1676396033
259,vestmannaeyjar,63.4427,-20.2734,3.55,81,40,4.63,IS,1676396037
260,conakry,9.538,-13.6773,31.04,62,53,4.12,GN,1676396037
261,klaksvik,62.2266,-6.589,8.51,96,100,13.41,FO,1676396037
262,isangel,-19.55,169.2667,23.65,78,5,3.01,VU,1676396037
263,rocha,-34.4833,-54.3333,32.5,31,99,6.49,UY,1676396037
264,sao filipe,14.8961,-24.4956,21.78,74,11,5.81,CV,1676396037
265,nanortalik,60.1432,-45.2371,-9.49,72,12,10.5,GL,1676396037
266,mahebourg,-20.4081,57.7,26.25,78,40,3.6,MU,1676396038
267,camacha,33.0833,-16.3333,14.68,63,40,9.77,PT,1676396038
268,isabela,6.7085,121.9711,24.61,88,100,3.03,PH,1676396038
269,miandrivazo,-19.5167,45.4667,25.36,78,69,1.38,MG,1676396038
270,koson,39.0375,65.585,7.18,88,100,1.39,UZ,1676396038
271,tra vinh,9.9347,106.3453,24.37,81,100,5.09,VN,1676396038
272,luancheng,37.8792,114.6517,-3.91,49,97,1.96,CN,1676396038
273,sorland,67.667,12.6934,6.92,90,100,8.69,NO,1676396038
274,winslow,35.0242,-110.6974,6.1,52,75,16.46,US,1676396039
275,lac du bonnet,50.2536,-96.0612,0.85,94,100,2.66,CA,1676396039
276,sal rei,16.1833,-22.9167,22.11,68,20,10.8,CV,1676396039
277,los llanos de aridane,28.6585,-17.9182,17.86,78,20,5.66,ES,1676396039
278,simoes,-7.5989,-40.8178,37.32,21,53,3.63,BR,1676396039
279,torrington,41.8007,-73.1212,10.3,41,6,2.24,US,1676395751
280,te anau,-45.4167,167.7167,12.25,95,35,0.97,NZ,1676396040
281,joaima,-16.6542,-41.0306,33.39,33,87,3.17,BR,1676396040
282,gazli,40.1333,63.45,3.2,64,58,4.13,UZ,1676396040
283,lapas,38.1,21.4167,11.03,70,0,1.54,GR,1676396040
284,rehoboth,-23.3167,17.0833,28.89,12,32,6.49,NA,1676396040
